*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=gg10
*Date=21:42:59
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
107;;;39.981;-18.2466;0;Bottom;GND
108;;;20.2565;-0.724;0;Bottom;Copper Fill30
109;;;23.2029;-7.709;0;Bottom;Copper Fill13
110;;sot23-5;29.2226;-3.94878;-90;Top;U2
111;;;41.1988;-18.2627;0;Bottom;Copper Fill28
112;;so08wide;21.5725;-14.5065;-2.54444e-14;Top;U1
113;;;39.981;-14.4366;0;Bottom;SWDIO
114;;;30.0482;-36.9697;0;Bottom;Copper Fill36
115;;tactile-switch-1101ne;38.7175;-15.6689;-90;Top;X9
116;;;31.2674;-13.0684;0;Bottom;Copper Fill53
117;;;14.5875;-22.6789;0;Bottom;nRST
118;;;18.9865;-0.724;0;Bottom;Copper Fill29
119;;;23.1556;-34.3146;0;Bottom;IMG3
120;;;1.11847;-28.6204;0;Bottom;TXT6
121;;;26.5684;-1.6892;0;Bottom;Copper Fill64
122;;;13.3858;-17.3356;0;Bottom;Copper Fill3
123;;;36.1061;-4.1784;0;Bottom;Copper Fill26
124;;;3.1369;-6.1088;0;Bottom;Copper Fill74
125;;Melf DO-213 AA [SMD];16.3526;-4.78581;135;Top;D1
126;;;27.0002;-16.0148;0;Bottom;Copper Fill47
127;;;25.9588;-21.2979;0;Bottom;Copper Fill41
128;;;12.6825;-17.5989;180;Top;X3
129;;;20.3025;-1.08901;0;Bottom;Via33
130;;tactile-switch-1101ne;8.89747;-4.26398;-90;Top;X6
131;;;39.9161;-21.298;0;Bottom;Copper Fill20
132;;;3.1369;-7.582;0;Bottom;Copper Fill73
133;10k;0402 [SMD];17.4966;-15.0589;180;Top;R1
134;;;40.6226;-6.80377;0;Bottom;Via88
135;;;39.9874;-20.7739;0;Bottom;Via15
136;;0603 [SMD];31.2269;-1.08878;-2.54444e-14;Top;CHARGE
137;;;2.22798;-29.6639;-90;Top;SPKR
138;;;38.7175;-2.99392;0;Bottom;Hole17
139;100nF;0603 [SMD, multilayer];1.25246;-21.1939;-90;Top;C3
140;;;19.0314;-1.08873;0;Bottom;Via9
141;;;23.2622;-8.13836;0;Bottom;Via75
142;;tactile-switch-1101ne;34.2725;-6.82882;-90;Top;X8
143;;;36.1774;-9.34401;0;Bottom;Via56
144;;;6.31132;-25.1809;90;Bottom;TXT2
145;;;18.6618;-3.25826;0;Bottom;Hole13
146;;;24.9936;-20.2312;0;Bottom;Copper Fill43
147;;;29.8275;-48.0789;0;Bottom;-
148;;;22.7965;-0.724;0;Bottom;Copper Fill17
149;;;33.147;-18.7834;0;Bottom;Copper Fill44
150;;;18.3975;-9.34401;0;Bottom;Via71
151;;;28.8798;-48.133;0;Bottom;Copper Fill67
152;;;35.3314;-2.0194;0;Bottom;Copper Fill62
153;;;20.8661;-2.248;0;Bottom;Copper Fill23
154;;;40.5257;-17.5388;0;Bottom;Copper Fill86
155;;;40.6226;-14.4238;0;Bottom;Via86
156;;;22.804;-20.2265;0;Bottom;TXT4
157;47k;0402 [SMD];13.9525;-1.70882;90;Top;R6
158;;;7.8994;-11.7475;0;Bottom;Copper Fill45
159;;tactile-switch-1101ne;3.15747;-9.95386;-90;Top;X4
160;;;2.4892;-31.8897;0;Bottom;Copper Fill39
161;;;20.1422;-16.1926;0;Bottom;Copper Fill49
162;150mA;sot23-5;20.9676;-8.07402;90;Top;U4
163;;;19.6675;-1.72401;0;Bottom;Via6
164;;;21.3106;-16.7514;0;Bottom;Copper Fill4
165;;;18.3975;-1.72401;0;Bottom;Via11
166;;;23.4775;-13.789;0;Bottom;Via68
167;;;2.4765;-28.3083;0;Bottom;Copper Fill15
168;;;14.0208;-10.6427;0;Bottom;Copper Fill65
169;;;0.7366;-26.8478;0;Bottom;Copper Fill71
170;;;2.52246;-27.7589;0;Bottom;Via3
171;;;22.352;-27.1145;0;Bottom;Copper Fill37
172;;tactile-switch-1101ne;8.89747;-15.694;-90;Top;X5
173;;;29.8275;-6.16901;0;Bottom;Via70
174;;SOT23-6;2.49237;-26.8039;-90;Top;U5
175;;;2.9464;-27.813;0;Bottom;Copper Fill16
176;;;40.3606;-12.5096;0;Bottom;Copper Fill54
177;;;23.4061;-11.5698;0;Bottom;Copper Fill69
178;;;9.398;-7.4423;0;Bottom;Copper Fill72
179;;;20.9804;-34.6075;0;Bottom;Copper Fill35
180;;;40.3098;-4.6864;0;Bottom;Copper Fill6
181;;THT;32.3675;-48.0789;-90;Bottom;+ -
182;;;16.4925;-20.7739;0;Bottom;Via21
183;;;38.4428;-6.58832;0;Bottom;TXT5
184;;;3.15746;-2.99392;0;Bottom;Hole16
